nombre;categoria;direccion;ciudad;cp;telefono;web;rating;reviews;lat;lng
Konpa Mascotas (By Euskalmushing) Tienda Santutxu.;Tienda de productos para mascotas;Gardeazabal Juan Kalea, 2;Bizkaia;;944 01 43 62;https://www.konpamascotas.com/;4.6;0;;
H-E-B San Patricio;Supermercado;Blvd. Eulalio Gutiérrez Treviño 2275;México;;+52 844 906 0194;https://www.heb.com.mx/;4.6;0;;
Soho Boho Apartments;Hotel;C. San Ignacio Loyola, 7;03013 Alicante;;+48 694 477 801;https://sohobohoapartments.es/;4.6;0;;
Valdivet;Veterinario;C. Régulo, 28;03007 Alicante;;865 60 53 26;;4.6;0;;
Turin Esfera Monterrey;Tienda de productos de chocolate;Av. la Rioja 245;México;;;https://mex.mars.com/es-MX;4.6;0;;
Urgencias Veterinarias Reina Cristina;Servicio de urgencias veterinarias;Paseo de la R. Cristina, 11;28014 Madrid;;915 01 96 63;http://www.urgenciasveterinariasmadrid.com/;4.6;0;;
Hotel NH Málaga;Hotel;C. San Jacinto, 2;29007 Málaga;;916 00 81 46;https://www.nh-hotels.com/en/hotel/nh-malaga?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb;4.6;0;;
Hotel NH Collection Palacio de Córdoba;Hotel;Pl. Maimónides, 3;14004 Córdoba;;957 42 03 35;https://www.nh-hotels.com/en/hotel/nh-collection-palacio-de-cordoba?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb;4.6;0;;
Platja de la Gola del Ter;playa;17257;Girona;;;;4.6;0;;
La Carpa;Juguetería;Carrer Hortes, nº 11. 17001;17001 Girona;;972 21 20 02;http://www.lacarpa.cat/;4.6;0;;
Doglando;Guardería canina;12276 E Colonial Dr;Estados Unidos;;+1 407-574-3160;https://doglando.com/;4.6;0;;
Clínica Veterinaria Pérez Galdós S.L.P.;Veterinario;Carrer de Pérez Galdós, 31;Illes Balears;;971 46 85 03;https://fb.me/clinicalevanteveterinaria;4.6;0;;
Pajareria Virgen del Remedio;Tienda de productos para mascotas;Av. Pintor Gastón Castelló, 23, Loc 4,Bajo izquierda;03011 Alicante;;632 78 01 99;;4.6;0;;
Centro Canino Bioko;Guardería canina;Partida de Carrús, Polígono 2, nº 277;Alicante;;659 16 90 80;http://www.centrocaninobioko.com/;4.6;0;;
MASCOTAS DIANA;Peluquero de mascotas;Av. de l'Equador, 103;Valencia;;661 01 57 78;http://www.mimascotadiana.com/;4.6;0;;
AQUAFAUNA;Tienda de productos para mascotas;Dorre Kalea, 2;Bizkaia;;944 15 18 46;;4.6;0;;
Centro Veterinario Zaragoza;Veterinario;C. Ramón Rayon #158;México;;+52 656 465 2575;;4.6;0;;
Cimaco Cuatro Caminos Torreón;Grandes almacenes;Plaza Cuatro Caminos, Blvd. Independencia 1300;México;;+52 871 747 2200;http://www.cimaco.com/;4.6;0;;
La Cala Veterinaria;Veterinario;Pl. Gloria Fuertes, 4;Málaga;;952 40 51 59;https://lacalaveterinaria.com/;4.6;0;;
Platja de Gossos de la Picordia;Parque para perros;Arenys de Mar;Barcelona;;;;4.6;0;;
Dogma;Peluquero de mascotas;Avinguda Argentina, 77;Illes Balears;;971 94 33 97;http://www.espaciodogma.com/;4.6;0;;
El Baño de Lucky Peluquería Canina;Peluquero de mascotas;Av. del Tenor Fleta, 53, Loc;50008 Zaragoza;;633 77 49 39;https://el-bano-de-lucky.webnode.es/;4.6;0;;
DOGZEN;Adiestrador canino;;;;625 92 35 08;http://dogzen.es/;4.6;0;;
B&B HOTEL Madrid Centro Fuencarral 52;Hotel;Calle de Fuencarral, 52;28004 Madrid;;911 63 46 70;https://www.hotel-bb.com/es/hotel/madrid-fuencarral-52?utm_source=googlemaps&utm_medium=fichehotel&utm_campaign=madrid_fuencarral_52;4.6;0;;
OXXO Emiliano Zapata;Tienda de productos para mascotas;Esquina Con Calle Gral, Miguel Angel, Emiliano Zapata S/N;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;4.6;0;;
Harkito Reptile;Tienda de reptiles;Gta. Marqués de Vadillo, 4;28019 Madrid;;912 10 76 88;http://www.harkitoreptile.com/;4.6;0;;
LayKán Educación canina y felina;Adiestrador canino;Avenida de la Alzamazara, sn;Alicante;;630 74 24 27;https://www.laykan.es/;4.6;0;;
Groom Grub & Belly Rub;Peluquero de mascotas;3702 Avalon Park E Blvd;Estados Unidos;;+1 407-277-7387;https://groomgrubbellyrub.com/;4.6;0;;
unperroeducado.es;Adiestrador canino;C. Virgen de Escardiel;41009 Sevilla;;633 68 96 53;;4.6;0;;
Mission Pet Hospital;Veterinario;720 Valencia St;Estados Unidos;;+1 415-552-1969;http://www.missionpet.com/;4.6;0;;
Petmanía;Tienda de animales;C. de Cavanilles, 3;28007 Madrid;;914 34 59 21;https://petmania.es/;4.6;0;;
Tienda para mascotas GREEN PET Bilbao🐱🐶;Veterinario;Tellagorri Kalea, 18;Bizkaia;;944 41 55 96;http://www.greenpet.es/;4.6;0;;
Clínica Veterinaria Cristo de la Epidemia;Veterinario;C. Gordón, 15;29013 Málaga;;952 26 69 49;;4.6;0;;
Rohr Park;Parque;4548 Sweetwater Rd;Estados Unidos;;+1 619-409-5979;http://www.chulavistaca.gov/departments/public-works/parks/locations-features-amenities-photos/rohr-park;4.6;0;;
OXXO Del Bosque HMO;Tienda de productos para mascotas;Agustin Zamora, Blvr. Luz Valencia 187;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;4.6;0;;
Clínica Veterinaria Málaga;Veterinario;C. Diderot, 28;29004 Málaga;;951 43 48 03;http://www.clinicaveterinariamalaga.org/;4.6;0;;
Miscota;Tienda de productos para mascotas;entrada;Biscay;;846 66 33 50;https://www.miscota.com/;4.6;0;;
Todomascota;Tienda de animales;C. Joaquín Gaztambide;29011 Málaga;;952 28 41 63;;4.6;0;;
Tiendanimal;Tienda de productos para mascotas;Gran Vía de Hortaleza;28043 Madrid;;911 28 48 84;https://tiendas.tiendanimal.es/comunidad-de-madrid/madrid/madrid/tiendanimal-gran-via-hortaleza-75?utm_medium=maps&utm_source=google;4.6;0;;
Peluquería canina Bud's Bath-Zaragoza;Peluquero de mascotas;C. de Jaime Balmes, 12;50001 Zaragoza;;644 00 29 06;https://budsbath.es/;4.6;0;;
Centro Veterinario Leuka;Veterinario;Carrer Prosperitat, 12;Alicante;;965 18 58 58;;4.6;0;;
Clinica Veterinaria Cordeleria;Veterinario;Soka K., 6;Bizkaia;;944 82 07 42;;4.6;0;;
Pajarería Y Acuario Antonio Molina;Tienda de productos para mascotas;C. Julián Calvo, 2, BAJO;30004 Murcia;;968 21 33 09;http://www.pajareriamolina.es/;4.6;0;;
Animal Health Center At Weston;Veterinario;2701 Executive Park Dr #1;Estados Unidos;;+1 954-385-8389;http://www.animalhealthcenteratweston.com/;4.6;0;;
Animals Tienda Oviedo Medellín;Tienda de productos para mascotas;Carrera 43 A;Colombia;;+57 316 4679013;https://www.animalsveterinaria.com/;4.6;0;;
Woof Gang Bakery & Grooming Waterford Lakes;Peluquero de mascotas;308 N Alafaya Trail;Estados Unidos;;+1 407-219-4805;https://woofgangbakery.com/waterfordlakes;4.6;0;;
D'ellas;Peluquería;Rúa Emilia Pardo Bazán, 23;Pontevedra;;886 13 96 59;;4.6;0;;
Discusmardelrey;Tienda de productos para mascotas;C. de Sant Mateu, 35, bajo;03012 Alicante;;966 14 55 18;http://www.discusmardelrey.com/tienda/;4.6;0;;
Parque Canino del Río Turia;Parque;Extramurs;Valencia;;;;4.6;0;;
Sanford Veterinary Hospital;Veterinario;600 W 27th St;Estados Unidos;;+1 407-322-2634;;4.6;0;;
Peluquería canina OscarGroomer | Sevilla Centro;Peluquero de mascotas;C. Francisco Carrión Mejías, 4F;41003 Sevilla;;615 94 41 95;;4.6;0;;
SNIFF Peluquería Canína;Peluquero de mascotas;Carrer de Malgrat, 62;08016 Barcelona;;667 75 57 24;http://www.sniff-peluqueriacanina.com/;4.6;0;;
Clinica Veterinaria Tombola;Veterinario;C. Virgen del Puig, 6;03009 Alicante;;965 12 71 44;;4.6;0;;
Son Batlet;Guardería canina;Camí de S'Era Esfondrada, s/n;Illes Balears;;670 70 07 35;http://www.sonbatlet.com/;4.6;0;;
Dream Dog: Educación Canina y Pensionado para Perros;Adiestrador canino;;;;+54 351 608-2560;;4.6;0;;
Aquarium Centrofama;Tienda de peces tropicales;C. Teniente Gral. Gutierrez Mellado, 9;30008 Murcia;;968 07 98 52;http://www.aquariumcentrofama.com/;4.6;0;;
ME Malaga by Melia;Hotel;C. Victoria, 6;29012 Málaga;;951 17 66 77;https://www.melia.com/en/hotels/spain/malaga/me-malaga?utm_campaign=google&utm_content=2939&utm_medium=organic&utm_source=directories;4.6;0;;
Piensos Júcar;Fábrica;C. del Oro, 2;47012 Valladolid;;687 46 18 35;;4.6;0;;
Aguita House;Albergue;P.º las Canteras, 53;Las Palmas;;614 86 84 53;https://aguitahostels.com/;4.6;0;;
Petco Torreón;Tienda de productos para mascotas;Periférico Raúl López Sánchez 5000;México;;+52 871 757 7939;https://www.petco.com.mx/;4.6;0;;
KitTea Cat Lounge & Cat Rescue;Servicio de adopción de mascotas;1266 Valencia St;Estados Unidos;;+1 415-658-7888;http://www.kitteasf.org/;4.6;0;;
PELUQUERÍA CANINA AMIGOS;Peluquero de mascotas;Calle Antonio Garrigós;30001 Murcia;;968 23 48 84;http://amigos.vet/;4.6;0;;
Central Bark Park;Parque para perros;Santa Clarita, CA 91350;Estados Unidos;;;;4.6;0;;
Reed Street Dog Park;Parque para perros;888 Reed St;Estados Unidos;;;;4.6;0;;
Sociedad Valenciana Protectora de Animales y Plantas;Protectora de animales;Pista de;Valencia;;963 12 34 53;http://www.svpap.org/;4.6;0;;
Paws Colinas Dog Park;Parque para perros;1300 California Crossing Rd;Estados Unidos;;+1 972-721-2501;http://lascolinas.org/paws;4.6;0;;
Platja de la Rubina;Parque;Carretera d'En Plus;Girona;;;;4.6;0;;
Veterinaria Animal Place;Veterinario;Blvd. Solidaridad #402;México;;+52 844 364 9653;https://www.facebook.com/profile.php?id=100063639562757;4.6;0;;
Clinica Veterinaria VetMálaga;Veterinario;CLINICA VETERINARIA VETMALAGA;Málaga;;952 51 35 17;http://vetmalaga.com/;4.6;0;;
Veterinaria La Palma;Veterinario;Blvd. Cucapah 2;México;;+52 664 380 0203;;4.6;0;;
Plaza Álvaro Obregón;Parque;Av. Hidalgo 744;México;;;;4.6;0;;
Centro Veterinario Mazarredo;Tienda de animales;Heros Kalea, 18, Local centro veterinario;Bizkaia;;944 23 08 96;https://centroveterinariomazarredo.com/;4.6;0;;
Cadelo Adiestramiento;Adiestrador canino;Rúa de Bolivia;Pontevedra;;604 07 99 40;http://www.cadeloadiestramiento.es/;4.6;0;;
Guau Salón Canino;Peluquero de mascotas;Calle de Sta Lucía, 58;47005 Valladolid;;983 44 51 46;https://www.facebook.com/Guau-Sal%C3%B3n-Canino-171976736282692/?nr;4.6;0;;
CLINICA VETERINARIA SAN GABRIEL CB;Veterinario;C. María Guerrero, 42;03008 Alicante;;965 11 16 16;http://www.clinicaveterinariasangabriel.com/;4.6;0;;
Aminta Home;Bed & Breakfast;C. Hernán Pérez de Grado, 30;Las Palmas;;652 42 20 91;http://www.amintahome.com/;4.6;0;;
Platja per cans;Parque para perros;Passeig Cala Gamba;Illes Balears;;;;4.6;0;;
El Rincón de Marepopito;Peluquero de mascotas;C. Cromo, 4;47012 Valladolid;;983 32 02 46;http://www.elrincondemarepopito.es/;4.6;0;;
Playa Illa Roja;playa;17255 Begur;Girona;;972 62 45 20;http://www.begur.cat/turisme/esp/platges.php?id=428;4.6;0;;
Mil Vueltas;Guardería canina;Carrer de Roig i Solé, 14;08035 Barcelona;;625 89 85 37;;4.6;0;;
Parque de la Ciutadella;Parque;Passeig de Picasso, 21;08003 Barcelona;;;https://www.barcelona.cat/es/que-hacer-en-bcn/parques-y-jardines/parque-de-la-ciutadella-92086011921;4.6;0;;
Apart-hotel Happy Life;Hotel;C. de Trafalgar, 59;03004 Alicante;;677 29 55 90;https://www.happylife.es/;4.6;0;;
Mascotes Costa Brava;Criador canino;Les Oliveres Mas Gros, 56;Girona;;671 50 63 76;https://www.mascotascostabrava.es/ca/;4.6;0;;
Playa La Cunchiña;Reserva natural;Cangas;Pontevedra;;;;4.6;0;;
Barber Park;Parque;3701 Gatlin Ave;Estados Unidos;;+1 407-254-6860;https://www.orangecountyfl.net/CultureParks/Parks.aspx?m=dtlvw&d=2#.X3_MmWkpASE;4.6;0;;
Guaw;Tienda de productos para mascotas;Rda. de Atocha, 18;28012 Madrid;;911 17 42 84;https://guaw.com/?utm_source=google&utm_medium=gmb&utm_campaign=atocha;4.6;0;;
Fundación Protectora de Animales del Principado de Asturias;Refugio para animales;C/ Folgueras 24B;Asturias;;;http://www.protectoradeasturias.org/;4.6;0;;
Clínica Veterinaria La Paz;Veterinario;C. Doña María Manrique, 5;29004 Málaga;;952 23 71 63;https://galachoveterinarios.com/encuentranos/clinica-veterinaria-la-paz/;4.6;0;;
Centro de Recuperación de Fauna El Valle. (Área veterinaria);Servicio de rehabilitación de la fauna;Carr. del Valle, 62;30150 Murcia;;968 17 75 00;https://www.turismoregiondemurcia.es/es/centro_de_interpretacion/area-de-educacion-ambiental-del-centro-de-recuperacion-de-fauna-el-valle-10037/;4.6;0;;
Hocico's Peluqueria Canina y Alimentación Natural;Peluquero de mascotas;Avenida De La;03016 Alicante;;675 63 03 22;https://www.instagram.com/hocicos_alicante_/profilecard/?igsh=MWlwMTMxenVkZ3gydw==;4.6;0;;
ANIMALES EXÓTICOS 24H - Veterinarios especialistas;Veterinario;C. de Cartagena, 160;28002 Madrid;;912 20 72 27;http://www.animalesexoticos24h.es/;4.6;0;;
Oxxo Málaga;Tienda de productos para mascotas;Esq. Malaga, P.º del Acueducto 6674;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;4.6;0;;
Paws Around Town Mobile Veterinary Hospital;Veterinario;7906 Kingspointe Pkwy #108;Estados Unidos;;+1 407-272-2803;http://www.pawsaroundtown.com/;4.6;0;;
Global Can | Centro Veterinario en Zaragoza;Peluquero de mascotas;C. de Matilde Sangüesa Castañosa, 17;50015 Zaragoza;;976 20 59 51;http://www.globalcanzaragoza.com/;4.6;0;;
Adiestramiento Canino Finca Gil;Adiestrador canino;C. Poeta Cano Pato, 2, 6x;30009 Murcia;;660 63 98 94;http://residenciacaninafincagil.es/;4.6;0;;
Gatino’s Guarderia para Gatos;Guardería para gatos;Av. las Palmas 4416;México;;+52 667 101 2958;https://instagram.com/guarderiaparagatosgatinos?r=nametag;4.6;0;;
Clinica Veterinaria Naciones Golf;Veterinario;Avinguda de les Nacions, 40;Alicante;;965 22 50 15;http://www.clinicaveterinarianacionesgolf.com/;4.6;0;;
H-E-B Valle Oriente;Supermercado;Av. Eugenio Garza Lagüera;México;;+52 81 8153 9675;https://www.heb.com.mx/;4.6;0;;
Nunchican;Peluquero de mascotas;Calle Marqués de Pidal, 8;Asturias;;649 40 12 01;;4.6;0;;
Centro Canino la Palma;Guardería canina;Paraje;Murcia;;669 23 31 83;;4.6;0;;
Terraviva Babel;Tienda de animales;C. del Comercio, 3, Nave 10;Alicante;;965 11 51 52;https://terravivamascotas.es/;4.6;0;;
Residencia Canina Del Xiquet;Guardería canina;partida casablanca 65LL;Valencia;;687 70 06 02;https://residenciacaninadelxiquet.es/;4.6;0;;
Mascotas Moñino, S.L.U.;Tienda de animales;Av. de Alicante, 7;Murcia;;968 24 43 60;https://www.mascotasmonino.com/;4.6;0;;
Residència Canina la Sentiu;Guardería canina;Ctra. de la Sentiu;Barcelona;;936 36 35 40;http://www.residencialasentiu.com/;4.6;0;;
Tuscawilla Animal Hospital;Veterinario;1101 E Tuskawilla Pt;Estados Unidos;;+1 407-699-1500;https://www.tuscawillavet.com/;4.6;0;;
Parque Lineal del Manzanares;Parque;Cmo. de Perales;28053 Madrid;;915 29 82 10;http://www.parquelineal.es/;4.6;0;;
Miscota;Tienda de productos para mascotas;C. San Vicente, 34;03004 Alicante;;865 61 86 80;http://www.miscota.es/;4.6;0;;
Parque central;Parque;Av. Junco de la Vega S/N;México;;;https://distritotec.tec.mx/es/proyectos/parque-central;4.6;0;;
Hábitat Laguna;Tienda de animales;Blvd. Independencia 105-Ote;México;;+52 871 713 0959;http://www.facebook.com/habitatlagun;4.6;0;;
Parque de la Espiritualidad HIPODROMO;Parque;Blvd. Lomas Campestre AREA VERDE;México;;;;4.6;0;;
Veterinaria Catalan;Veterinario;Av. Waterfill 209;México;;+52 656 682 0373;;4.6;0;;
Centro Médico “Snoopy”;Hospital veterinario;Calle cuarta entre Morelos y Zaragoza, 87500;México;;;;4.6;0;;
La Marina Exóticos Centro Veterinario;Cuidados veterinarios;Calle Arquitecto Santiago Perez Aracil, 30, BAJO;Alicante;;965 45 96 92;http://www.cvlamarinaexoticos.com/;4.6;0;;
Opera House Valencia B&B. Alojamiento en Ciudad de las Artes y las Ciencias. Valencia;Bed & Breakfast;Vidal 2 (Arquitecte;Valencia;;963 11 80 10;http://www.operahousevalencia.com/;4.6;0;;
Residencia Canina Saboya;Guardería canina;Partida de Saboia, 101, Bajo;Valencia;;961 85 65 24;http://www.residenciacaninavlc.com/;4.6;0;;
Residencia de Animales Oasis;Guardería canina;Carretera;Sevilla;;667 70 88 55;https://www.residenciaoasis.com/;4.6;0;;
Apaam Protectora;Protectora de animales;;;;;https://msha.ke/apaamprotectora/#about;4.6;0;;
4Patas Guanarteme - Tienda de Animales Las Palmas;Tienda de productos para mascotas;C. Fernando Guanarteme, 124;Las Palmas;;928 27 18 05;https://linktr.ee/4pataslaspalmas;4.6;0;;
ESPAI GOS;Adiestrador canino;Carrer Onze de Setembre, 3;Girona;;;;4.6;0;;
Bris Clínica Veterinaria- Albaitari Klinika;Veterinario;Simón Bolívar Kalea, 1, BAJO,A;Bizkaia;;944 10 14 60;http://www.veterinarios-bilbao.com/;4.6;0;;
Bargain House;Tienda de descuento;837 S Knott Ave;Estados Unidos;;+1 714-995-2366;;4.6;0;;
Kiwoko. Mundo Animal;Tienda de productos para mascotas;Calle Velázquez, 136;28006 Madrid;;914 85 55 83;https://tiendas.kiwoko.com/comunidad-de-madrid/madrid/madrid/kiwoko-madrid-velazquez-136-143?utm_medium=maps&utm_source=google;4.6;0;;
ICON Malabar;Hotel;C. Tomás Heredia, 13;29001 Málaga;;952 60 67 03;https://www.petitpalace.com/en/icon-malabar/?utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&utm_content=MAL&origin_source=google&origin_medium=organic&origin_campaign=MyBusiness;4.6;0;;
Centro Veterinario Bilbao;Veterinario;C. María Díaz de Haro, 56;Biscay;;944 42 05 94;;4.6;0;;
Distrito Animal - Clínica Veterinaria;Peluquero de mascotas;C. Pasos de Santiago, Nº13-14, Bajo;30005 Murcia;;659 87 23 60;http://www.cvdistritoanimal.es/;4.6;0;;
Paw Park of Historic Sanford;Parque para perros;427 S French Ave;Estados Unidos;;+1 407-688-5103;https://sanfordfl.gov/ova_por/paw-park/;4.6;0;;
La Pajarería;Tienda de animales;C/ de Francisco Silvela, 23;28028 Madrid;;914 01 68 30;http://www.pajareriaakp.com/;4.5;0;;
Palma Paraíso Cremaciones;Servicio de cremación;Miguel Hidalgo Y Costilla 301-A;México;;+52 81 2647 4565;http://palmaparaisocremaciones.com/;4.5;0;;
ACUNR - Animales Con Un Nuevo Rumbo;Protectora de animales;;;;;https://www.acunr.es/;4.5;0;;
Tierra y Mar;Tienda de animales;Av. d'Aragó, 12;Valencia;;655 17 14 02;http://www.tierraymarshop.com/;4.5;0;;
Piensos El Granadal;Pajarería;Av. del Zafiro, 8;14014 Córdoba;;957 26 09 45;https://grupopiensoselgranadal.com/;4.5;0;;
Parque canino Fidiana;Parque;Av. de Libia, 27;14014 Córdoba;;;;4.5;0;;
Palacio Santa Clara, Autograph Collection;Hotel;C/ de Pascual i Genís, 22;Valencia;;960 13 10 00;https://www.marriott.com/en-us/hotels/vlcak-palacio-santa-clara-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0;4.5;0;;
Dog Park | Las Palmas;Parque para perros;831 Stella Ct;Estados Unidos;;;https://www.sunnyvale.ca.gov/Home/Components/FacilityDirectory/FacilityDirectory/51/456;4.5;0;;
Parque para Perros;Parque para perros;Pont del Real;Valencia;;;;4.5;0;;
La Casa de los Bigotes;Tienda de productos para mascotas;Av. Ronda de los Tejares, 19, Loc 4;14008 Córdoba;;857 87 26 06;https://lacasadelosbigotes.com/;4.5;0;;
Soho Boutique Colón;Hotel;Alameda de Colón, 5;29001 Málaga;;951 55 05 67;https://www.petitpalace.com/en/soho-boutique-colon/?utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&origin_source=google&origin_medium=organic&origin_campaign=MyBusiness;4.5;0;;
Tiendanimal;Tienda de productos para mascotas;Calle Pp Montevida, 1201;30150 Murcia;;968 92 16 21;https://tiendas.tiendanimal.es/region-de-murcia/murcia/murcia/tiendanimal-murcia-sur-montevida-86?utm_medium=maps&utm_source=google;4.5;0;;
Redondo Beach Dog Park;Parque para perros;190 Flagler Ln;Estados Unidos;;+1 818-539-7263;http://www.rbdogpark.com/;4.5;0;;
Clínica Veterinaria Karmelo;Veterinario;Iturriaga K., 100;Bizkaia;;944 11 30 83;https://clinicaveterinariakarmelo.com/;4.5;0;;
Ace Hardware of Oviedo;Ferretería;23 E Franklin St;Estados Unidos;;+1 407-365-6634;http://www.sanfordacehardware.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=11147;4.5;0;;
Petit Palace Puerta del Sol;Hotel;C. del Arenal, 4;28013 Madrid;;915 21 05 42;https://www.petitpalace.com/en/petit-palace-puerta-del-sol/?utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&utm_content=PDS&origin_source=google&origin_medium=organic&origin_campaign=MyBusiness;4.5;0;;
Miscota;Tienda de productos para mascotas;C/ de Jesús, 101;Valencia;;960 69 90 03;http://www.miscota.es/;4.5;0;;
Tiendanimal;Tienda de productos para mascotas;C. Alcalá, 330;28027 Madrid;;911 88 38 01;https://tiendas.tiendanimal.es/comunidad-de-madrid/madrid/madrid/tiendanimal-calle-alcala-330-madrid-57?utm_medium=maps&utm_source=google;4.5;0;;
Escuela Adiestramiento los Galachos;Adiestrador canino;Polígono Agrario 203 Paraje Soto de Juslibo, Parcela 118;Zaragoza;;616 49 35 54;https://losgalachoscentroadiestramiento.wordpress.com/;4.5;0;;
Oxxo;Tienda de productos para mascotas;Esq. Valladolid;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;4.5;0;;
Parque Copacabana;Parque;Av Enrique Quijada;México;;;;4.5;0;;
Casa Alberola Alicante, Curio Collection by Hilton;Hotel;C. Canalejas, 1;03001 Alicante;;965 27 09 10;https://www.hilton.com/en/hotels/alccaqq-casa-alberola-alicante/?SEO_id=GMB-EMEA-QQ-ALCCAQQ;4.5;0;;
Peluquería Canina Totana;Peluquero de mascotas;Carrer de Totana, 7;Valencia;;692 34 75 37;;4.5;0;;
Clínica Veterinaria Caborca;Cuidados veterinarios;Benito Juárez y Avenida O 200;México;;+52 637 372 7172;https://www.facebook.com/clinicaveterinariacaborca;4.5;0;;
HUNGRY PETS (antes: Agrizoo Sevilla);Tienda de animales;Carretera Brenes, 25;41019 Sevilla;;954 51 74 63;https://www.agrizoosevilla.es/;4.5;0;;
Pajaros El Recreo;Tienda de animales;C. Maestro Luis Torregrosa, 1;03013 Alicante;;965 20 27 63;;4.5;0;;
Bichos;Tienda de animales;C. Real de Burgos, 9;47011 Valladolid;;983 18 16 17;https://bichostiendademascotas.es/;4.5;0;;
Peluqueria Canina PATUSOS;Peluquero de mascotas;C. d'Antoni Joan, 8;Valencia;;635 62 84 66;;4.5;0;;
Pajarería Villena;Tienda de animales;Sor Natividad Homedes Kalea, 2;Bizkaia;;944 61 00 85;https://pajareriavillena.com/;4.5;0;;
Conejo Creek Dog Park;Parque para perros;1350 E Avenida De Las Flores;Estados Unidos;;+1 805-495-6471;https://www.crpd.org/parks-reservations/dog-parks/;4.5;0;;
Buddies: Pet Daycare, Boarding and Grooming;Servicio de embarque de mascotas;3345 E Patrick Ln Unit 150;Estados Unidos;;+1 702-202-4003;https://www.petbuddieslv.com/;4.5;0;;
Mascotas Ávila Sevilla;Tienda de productos para mascotas;Av. de la República Argentina, 25;41011 Sevilla;;955 80 93 95;http://www.mascotasavila.com/;4.5;0;;
Amavets;Veterinario;C. México, 27, Loc 1-2;03008 Alicante;;965 11 23 06;http://www.clinicasvet.es/;4.5;0;;
Clínica veterinària Animàlia;Veterinario;Passeig dels Països Catalans, 37, 39;Girona;;972 23 90 03;http://www.animalia.cat/;4.5;0;;
Policlínico Veterinario Málaga;Veterinario;C. Gerona, 1;29006 Málaga;;952 31 44 27;http://www.veterinaria-malaga.es/;4.5;0;;
Style And Dog, equipamiento profesional para peluquerías caninas;Tienda de productos para mascotas;C. de Alonso Cano, 59;28003 Madrid;;912 42 33 23;http://www.styleanddog.com/;4.5;0;;
Parque Olivar del Zaudín de Tomares;Parque;41940;Sevilla;;954 15 91 20;http://parquezaudin.tomares.es/;4.5;0;;
Le Petit;;Av. de El Greco, 14;41007 Sevilla;;;;4.5;0;;
Clínica Veterinaria Felycan;Veterinario;C. Cánovas del Castillo, 39, BAJO;03012 Alicante;;965 25 84 49;;4.5;0;;
Apartahotel Comforsuite;Hotel;P.º de la Zarcilla, 6;Valladolid;;983 55 29 84;http://www.comforsuite.com/;4.5;0;;
UpDog Peluquería y Guardería Canina;Peluquero de mascotas;C. de Téllez, 18;28007 Madrid;;633 53 33 91;https://www.updog.es/peluqueria-y-guarderia-canina-pacifico/;4.5;0;;
Animalandia Tienda de Animales;Tienda de animales;C. Padre Suarez, 3;Asturias;;985 21 01 65;https://www.facebook.com/AnimalandiaTiendaDeAnimales;4.5;0;;
Snoop Dog;Peluquero de mascotas;Cmo de S. Rafael, 40, Loc 2;29006 Málaga;;613 09 23 82;https://snoopdog.es/;4.5;0;;
Centro de Recuperación de Fauna "La Granja de El Saler";Servicio de rehabilitación de la fauna;El Saler;Valencia;;963 86 80 25;https://mediambient.gva.es/es/web/biodiversidad/centres-recuperacio-fauna/la-granja-de-el-saler;4.5;0;;
Parque recreativo y área canina La Vid;Parque;tra. vino;28011 Madrid;;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=49e83d5e3af7a510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;4.5;0;;
Clínica Veterinaria Son Dureta;Veterinario;Camí de Gènova, 4;Illes Balears;;971 73 21 77;https://www.veterinarisondureta.es/;4.5;0;;
Praia da Fontaíña;playa;Rúa de Canido, 24;Pontevedra;;;http://www.turismodevigo.org/es/playa-de-fontaina;4.5;0;;
Hotel Amadeus;Hotel;C. Farnesio, 6;41004 Sevilla;;954 50 14 43;http://www.hotelamadeussevilla.com/;4.5;0;;
Onion Creek Greenbelt;Parque;7002 Onion Creek Dr;Estados Unidos;;+1 512-974-6700;http://www.austintexas.gov/department/parks-and-recreation;4.5;0;;
Hotel canino Can Jané;Guardería canina;Hotel caní Can Jané, Ctra. Valldeoriolf, Km 2,5, 08430, Barcelona;Barcelona;;938 42 25 23;https://www.canjane.com/;4.5;0;;
Veterinaria Perrhijos;Veterinario;Bulevar Luis D. Colosio 785-Loc 4;México;;+52 662 422 0887;;4.5;0;;
